year,doy,hr,B_nT,Bx_GSE_nT,By_GSM_nT,Bz_GSM_nT,T_K,P,V,Kp_x10,R,Dst_nT,Ap_nT,F10.7,AE,AL,AU,Pc,Lyman_alpha
2017,1,0,7.1,-5.8,-0.5,-2.5,149703,6.9,551,33,12,-12,18,70.1,132,-81,51,999.9,3.73
2017,1,1,6.5,-4.6,-0.6,-3.5,170252,7,553,33,12,-13,18,70.1,329,-240,89,999.9,3.73
2017,1,2,5.8,-4.4,1.3,-3,159322,6.3,550,33,12,-16,18,70.1,336,-235,100,999.9,3.73
2017,1,3,6.2,-5.4,2,-0.1,149262,5.6,536,37,12,-23,22,70.1,357,-267,90,999.9,3.73
2017,1,4,6.7,-1,-3.3,-2.8,149890,5.6,543,37,12,-29,22,70.1,439,-285,154,999.9,3.73
2017,1,5,5.6,-0.2,1,-4,164122,4.9,542,37,12,-30,22,70.1,400,-210,191,999.9,3.73
2017,1,6,5,-3.2,2.2,-1.3,171521,4.6,525,27,12,-28,12,70.1,305,-136,169,999.9,3.73
2017,1,7,4.5,-0.3,0.8,-1.8,140269,4.5,533,27,12,-20,12,70.1,144,-52,92,999.9,3.73
2017,1,8,5.1,-1.5,2.9,-1.6,142314,4.9,529,27,12,-18,12,70.1,174,-83,91,999.9,3.73
2017,1,9,3.4,-1.9,0,-0.5,177333,5.6,516,23,12,-16,9,70.1,304,-182,122,999.9,3.73
2017,1,10,4,-3.2,-0.5,0,181544,5.5,511,23,12,-12,9,70.1,365,-251,113,999.9,3.73
2017,1,11,4.9,1.7,-2.9,-1.7,138267,5.5,520,23,12,-15,9,70.1,255,-150,104,999.9,3.73
2017,1,12,4.2,0.6,2.7,-0.7,135834,5.6,515,23,12,-13,9,70.1,342,-254,87,999.9,3.73
2017,1,13,3.7,1.1,0.1,-2.1,151589,5.7,516,23,12,-12,9,70.1,279,-193,86,999.9,3.73
2017,1,14,4.7,2.9,1.8,-0.4,131473,5.1,513,23,12,-13,9,70.1,182,-138,44,999.9,3.73
2017,1,15,4.6,0.6,4.1,0.7,121805,5.3,501,30,12,-11,15,70.1,149,-136,13,999.9,3.73
2017,1,16,4.1,1.3,3.1,-0.8,110364,5.3,495,30,12,-13,15,70.1,170,-158,13,999.9,3.73
2017,1,17,3.7,0.7,1.9,-1.8,117563,5.3,486,30,12,-15,15,70.1,465,-393,71,999.9,3.73
2017,1,18,3.4,3.1,1.1,-0.4,101535,5.5,484,20,12,-13,7,70.1,256,-226,30,999.9,3.73
2017,1,19,3.4,2,1.5,-1.4,98660,5.3,478,20,12,-11,7,70.1,72,-48,24,999.9,3.73
2017,1,20,3.1,0.9,2.2,-0.4,94592,5,478,20,12,-11,7,70.1,66,-40,26,999.9,3.73
2017,1,21,3.5,-1.3,2.2,0.9,95784,5,475,17,12,-12,6,70.1,81,-59,22,999.9,3.73
2017,1,22,3.9,-3.4,1.6,0.1,105764,5.6,460,17,12,-11,6,70.1,110,-100,11,999.9,3.73
2017,1,23,4,-3.7,-0.3,0.6,101429,5.3,463,17,12,-8,6,70.1,101,-77,23,999.9,3.73
2017,2,0,3.1,-2.5,-1.9,-0.2,120027,4.9,466,17,12,-4,6,70.6,52,-30,22,999.9,3.72
2017,2,1,2.2,-1.9,-0.3,-0.4,115156,4.4,463,17,12,-5,6,70.6,46,-10,36,999.9,3.72
2017,2,2,2.3,-0.9,-0.1,-1.5,79806,3.7,447,17,12,-8,6,70.6,49,-17,31,999.9,3.72
2017,2,3,3.1,0.5,0.9,-1.4,54317,4,429,23,12,-10,9,70.6,66,-29,37,999.9,3.72
2017,2,4,3.1,1,0.4,-2.4,50161,4.5,431,23,12,-11,9,70.6,157,-94,63,999.9,3.72
2017,2,5,3.2,0.2,1.5,-2.6,46849,5.1,426,23,12,-9,9,70.6,110,-38,72,999.9,3.72
2017,2,6,3.5,-0.3,1,-3.1,47556,5.6,418,20,12,-11,7,70.6,131,-38,93,999.9,3.72
2017,2,7,3.6,0.5,-0.2,-3.5,43120,5.4,413,20,12,-15,7,70.6,141,-95,46,999.9,3.72
2017,2,8,3.4,-1.2,-0.9,-2.8,44610,5.7,395,20,12,-14,7,70.6,310,-236,74,999.9,3.72
2017,2,9,3.3,-1.4,-0.8,-2.6,41939,5.3,391,17,12,-11,6,70.6,282,-174,108,999.9,3.72
2017,2,10,3.5,-0.6,-2,-2.3,38802,5.2,399,17,12,-11,6,70.6,259,-181,78,999.9,3.72
2017,2,11,4.3,-0.1,-2.2,-3.5,37675,5.6,400,17,12,-13,6,70.6,301,-163,138,999.9,3.72
2017,2,12,4.7,-0.2,-0.5,-4.5,38090,6.2,397,13,12,-17,5,70.6,449,-248,201,999.9,3.72
2017,2,13,5.4,0,-0.2,-5.4,34436,5.5,397,13,12,-23,5,70.6,464,-302,161,999.9,3.72
2017,2,14,4.7,-0.6,2.6,-3.7,51044,6.9,393,13,12,-28,5,70.6,441,-321,120,999.9,3.72
2017,2,15,4.4,-1.1,3.4,-2.5,51516,6.9,390,20,12,-27,7,70.6,338,-219,118,999.9,3.72
2017,2,16,4.8,-2.6,3.4,-2.1,47357,6.4,385,20,12,-24,7,70.6,251,-172,80,999.9,3.72
2017,2,17,5.1,-3.6,3.6,-0.3,48937,6.3,381,20,12,-22,7,70.6,281,-221,60,999.9,3.72
2017,2,18,5.1,-3.4,3.8,0.3,49960,7,377,3,12,-19,2,70.6,102,-67,35,999.9,3.72
2017,2,19,5.5,-3.4,4.2,-0.2,47051,6.9,370,3,12,-17,2,70.6,36,-24,12,999.9,3.72
2017,2,20,6.9,-5.6,3.7,1.5,38346,6.3,381,3,12,-16,2,70.6,31,-22,8,999.9,3.72
2017,2,21,7,-5.9,2.9,2.1,45744,8.4,385,7,12,-14,3,70.6,31,-18,12,999.9,3.72
2017,2,22,7.4,-6.5,2.5,2.3,55268,6.3,387,7,12,-14,3,70.6,48,-29,19,999.9,3.72
2017,2,23,6.6,-5.4,3.3,1.5,74695,8.4,377,7,12,-9,3,70.6,40,-18,22,999.9,3.72
2017,3,0,6.4,-4.9,4,-0.3,58462,8.6,367,3,11,-6,2,71,30,-8,22,999.9,3.74
2017,3,1,6.5,-5.3,3.4,-0.4,69354,8.1,371,3,11,-7,2,71,33,-8,25,999.9,3.74
2017,3,2,6.2,-4.8,3.5,0.2,66313,8.3,372,3,11,-6,2,71,41,-11,31,999.9,3.74
2017,3,3,5.5,-1.1,2.6,-1.7,63145,9.6,380,17,11,-5,6,71,46,-13,33,999.9,3.74
2017,3,4,5.6,-2.6,3.5,-1,50794,12.3,373,17,11,-6,6,71,119,-39,80,999.9,3.74
2017,3,5,5.7,-3.4,3.9,-1.5,39152,16.3,378,17,11,-4,6,71,111,-31,79,999.9,3.74
2017,3,6,7.3,-4.4,5.3,1,35057,22.8,390,20,11,0,7,71,130,-40,89,999.9,3.74
2017,3,7,5.6,-0.3,-0.5,-1.6,39403,29.1,389,20,11,6,7,71,111,-57,54,999.9,3.74
2017,3,8,9.2,6.2,-3.6,4.7,77605,20.8,412,20,11,3,7,71,103,-56,47,999.9,3.74
2017,3,9,10.5,-4,0.1,-4.9,90022,14.2,448,37,11,7,22,71,119,-63,56,999.9,3.74
2017,3,10,6.7,-3.3,-0.3,-4,188682,14.1,472,37,11,-5,22,71,469,-377,92,999.9,3.74
2017,3,11,5.2,-0.5,-2.9,-3,246836,12.3,466,37,11,-16,22,71,519,-462,57,999.9,3.74
2017,3,12,6.2,4.2,-1.7,1,264667,10.6,474,27,11,-22,12,71,321,-251,70,999.9,3.74
2017,3,13,8.3,6.8,-2.6,0.3,237424,9.5,497,27,11,-20,12,71,168,-67,101,999.9,3.74
2017,3,14,8.2,6.6,-3.4,1.1,209367,8.5,506,27,11,-17,12,71,96,-47,49,999.9,3.74
2017,3,15,7.8,5.5,-4.1,-2.4,189042,6.8,514,30,11,-15,15,71,202,-167,35,999.9,3.74
2017,3,16,7.2,3.7,-2.4,-2.8,170538,5.6,523,30,11,-15,15,71,159,-113,46,999.9,3.74
2017,3,17,7.6,6,-4.3,1.1,176585,5.4,489,30,11,-21,15,71,348,-278,70,999.9,3.74
2017,3,18,7.4,5.7,-4.3,0,136904,6.3,468,27,11,-27,12,71,289,-186,103,999.9,3.74
2017,3,19,8.2,5.9,-4.5,-3.2,144594,7.4,448,27,11,-19,12,71,142,-77,66,999.9,3.74
2017,3,20,9,4.3,-6.3,-1.8,97611,6.2,447,27,11,-19,12,71,227,-129,99,999.9,3.74
2017,3,21,8.5,3.1,-7,2.2,69405,6.2,430,27,11,-22,12,71,263,-173,90,999.9,3.74
